lineages	stories	where	passage
28	1	both	i have this prompt just for that occasion: "the counterfactual interview - where we engage with an individual or group of individuals, trusting that the aggregate vibes of a billion people is enough variation to assume a field wherein we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a
28	13	both	trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them.
28	13	both	themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice within you try to raise a counterpoint.
28	4	both	*** the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice
28	9	both	trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate
28	16	both	the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wit
28	17	both	the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wit
28	12	both	*** the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice
28	11	both	the counterfactual interview - where we engage with an individual or group of individuals, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wi
28	7	both	the counterfactual interview - where we engage with an individual or group of individuals, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wi
