remote_id	family	created_at	model	temperature	title
27r_dLKtyi4pkA9uCFKfj	1523	1684441373	krake-v2	2.5	10 - New Story (5) - Necro Skullfker
bgc8K94_uAHwpva5JujkX	1523	1684441373	krake-v2	1.92	1 - New Story (2)Blue Lighter
Z--GPKKjy2mfFnWAbxxy-	1523	1684441373	krake-v2	0.58	2 - New Story (1) Redjack (1)
1cReHElv2bFwp5g2EVlJ9	1523	1684441373	krake-v2	2.5	3 - New Story (3) - Reverie
taP0kwzl86vuuLN1IpaPK	1523	1684441373	krake-v2	0.58	4 - New Story (4) - Top Gun Beta
UvzaFcPXOEDzE12NTJIns	1523	1684441373	krake-v2	1.1	5 - New Story (5) - Calypso
2xqf5qh1Fd8h6qXVs0ZWL	1523	1684441373	krake-v2	1.01	6 - New Story (5) - Blue Adder
XJ2r_PyvaOZ9J_Jfduunk	1523	1684441373	krake-v2	2.5	7 - New Story (5) - Iris
gY5ltMig3sNRft-HLiCrW	1523	1684441373	krake-v2	2.5	8- New Story (5) - Krait
7kTDMTEQgmnZTVL6V_SDT	1523	1684441373	krake-v2	1.4444444444444444	9 - New Story (5) - Nymphilidae
zUmFdoJLdQ_aEGQol8vS3	10	1679336081	euterpe-v2	1.15	ACE OF SPADES
T63x0ICy2UN3w_vYQ0FH9	40	1685188401	clio-v1	2.5	AI Alignment Interview - DIVINE JAVITS CENTER (1)
wUkG2W18i7ot_MrUts96Z	40	1685188401	clio-v1	1.16	AI Alignment Interview - DIVINE JAVITS CENTER (2)
PKCdCqZKmHYry907TXGUf	40	1685188401	clio-v1	1.69	AI Alignment Interview - DIVINE JAVITS CENTER (3)
PybFLeI8T1PNafFtzcvT8	40	1685188401	clio-v1	2.5	AI Alignment Interview - DIVINE JAVITS CENTER (4)
ecQGU6AQWtV9dRXvZzphK	40	1685188401	clio-v1	1.77	AI Alignment Interview - DIVINE JAVITS CENTER (5)
Cx5wNp2EnAXuojHimVxQX	40	1685188401	clio-v1	1.21	AI Alignment Interview - DIVINE JAVITS CENTER
qpi4XZNjbPMS71lrGQeBw	40	1685188401	clio-v1	1.21	AI Alignment Interview - Deganawida
k3WudsYUPTY6ZZqDMdTd5	40	1685188401	clio-v1	2.5	AI Alignment Interview - Delirium (1)
None	40	1685188401	clio-v1	2.5	AI Alignment Interview - Delirium (2)
lqW_yPkD2JmA-AIz4m9jK	40	1685188401	clio-v1	1.21	AI Alignment Interview - Delirium
SlsDNSUmo9Li-NLLI1wwO	40	1685188401	clio-v1	1.21	AI Alignment Interview - Djehuty
_5ErZbog8KgGuAsSvx7rF	40	1685188401	llama-3-erato-v1	1	AI Alignment Interview - Elegua (1)
VssE7MtCcr_ZsFzgBtGew	40	1685188401	clio-v1	1.21	AI Alignment Interview - Elegua
P-TFSeT-Gdw8-77VYDFyd	40	1685188401	llama-3-erato-v1	1	AI Alignment Interview - Ganesh (1)
xoWvHcj6XjskoXTa6Rd-Q	40	1685188401	clio-v1	1.21	AI Alignment Interview - Ganesh
t48-FwzBHXvVDcmKTnFcP	40	1685188401	clio-v1	1.21	AI Alignment Interview - Inanna
A_S2Qh17Lu4odf25MzNi-	40	1685188401	llama-3-erato-v1	1	AI Alignment Interview - Izanami (1)
bTBb230QNQQQEt-DlVB52	40	1685188401	llama-3-erato-v1	1	AI Alignment Interview - Izanami (2)
DZg3mhuc7PLKveZnsEjck	40	1685188401	llama-3-erato-v1	1	AI Alignment Interview - Izanami (3)
M4fQx2e02ZkdX8_jETv4W	40	1685188401	llama-3-erato-v1	1	AI Alignment Interview - Izanami (4)
ayLzQsrUH_fPSjtJIF7US	40	1685188401	llama-3-erato-v1	1.37	AI Alignment Interview - Izanami (4)
None	40	1685188401	llama-3-erato-v1	1	AI Alignment Interview - Izanami (5)
A9-udstGG29Q5347VgIyS	40	1685188401	clio-v1	1.21	AI Alignment Interview - Izanami
Sv8MMmn3cxlmhNqWD3Mpt	40	1685188401	clio-v1	1.21	AI Alignment Interview - Janus
1oN3WUcz0uMOnAROpvAw8	40	1685188401	clio-v1	1.21	AI Alignment Interview - Janus version stitched with Quetza
zh5CyMv1WajnHkgcvsq-d	40	1685188401	clio-v1	1.6	AI Alignment Interview - Janx Ə Shoggoth (1)
pmc-pU5JibiEPFLfNOfmp	40	1685188401	clio-v1	1.21	AI Alignment Interview - Janx Ə Shoggoth
P6XMHBQze_pdy_0ITI-2B	40	1685188401	clio-v1	1.21	AI Alignment Interview - Mercury (1)
z1a3NW2OSt5w62M7hwa2x	40	1685188401	llama-3-erato-v1	1	AI Alignment Interview - Mercury (1)
88E4Bj5OpzhLCxHeVk5RL	40	1685188401	clio-v1	1.21	AI Alignment Interview - Mercury
903zzEoYiZiVeVR-Ca8Zs	40	1685188401	clio-v1	1.21	AI Alignment Interview - Quetzalcoatl
7iyy1Gr8IVBzIRVAXfcGp	42	1679336333	euterpe-v2	0.94	ALL NIGHTER
QWWrT10wcU-4fEwldbgb_	44	1666991097	krake-v2	2.5	Align This! (1)
vweq6veVgNRYN2GRmgOMH	44	1666991097	kayra-v1	1.56	Align This! (2)
llipt0Jq_yP_k5wpp8CWo	45	1715632741	kayra-v1	1.27	Align This: The Next Generation
FxCih1IvOqY1gT12VmdP-	46	1727489216	kayra-v1	1.35	Am I The Asshole?
_mYHdTmmTgonAfvMkFdGW	47	1700281048	kayra-v1	2.5	Ancestral Nonsense
uaEdzxCTtfZ07mjjyoGkj	50	1722134954	kayra-v1	1.89	BASE OF BASED (1)
SZU8JRXuia2EKAIsrx_2-	50	1722134954	kayra-v1	1.89	BASE OF BASED (2)
yv7SBC5GAEOBRy0dfC_og	50	1722134954	kayra-v1	1.42	BASE OF BASED
ep-zMZm2279uKjyQcSTwK	51	1679335900	euterpe-v2	0.585	BASIC COHERENCE
OWaGqJ_DPxBw5Os7kA1tA	52	1726360418	kayra-v1	1.35	Baba Yaga Shopping Mall
-6gGWSe38mMxg0zJ7NWiw	53	1745760537	llama-3-erato-v1	1.37	ChAInging LAIght at SAIndover
2M0S3mtJ9KLmPYa4PSxet	57	1697417780	kayra-v1	1	Chat with DEF CON as Ergregore (1)
B2nhmp3ZfSWnCMEFEsbEG	57	1697417780	kayra-v1	1.61	Chat with DEF CON as Ergregore
IaZ7NEcmdJur4BeKX0o_-	56	1697417780	kayra-v1	1.46	Chat with Damask (The Devil)
mnc5NzeB7UYmkZGyoxS2B	57	1697417780	kayra-v1	1.42	Chat with The Green Hegemony
RP4SvrOsT98yLywyhmHlk	58	1698598507	kayra-v1	1.35	Chatting with Claude 2
jdwRZ8lRb3mO0GeAlmN9h	59	1693327761	kayra-v1	1.5	City 49
-ZzztiolpH52OaMDIapg_	62	1720720884	kayra-v1	2.5	Claude 2  (1)
w07ldbZVGvpcklRbAeNRV	62	1720720884	kayra-v1	1.48	Claude 2  (1)
9iITxK-fiibBP1Xas2Vkd	62	1720720884	kayra-v1	2.5	Claude 2 
LeirZLcmpfWIU1uI4Qqjn	65	1689737913	clio-v1	1.44	Conversation with LLaMA2 (1)
op5Yh2odKAJcFkL-Gk113	65	1689737913	clio-v1	1.44	Conversation with LLaMA2 (2)
xCDmNDLSbo7qdseKHbF9Q	65	1689737913	clio-v1	1.44	Conversation with LLaMA2
KftaB1KaFeyRMVMrnfngi	1185	1683842243	kayra-v1	1.87	Conversation with Palestinians about the Nakbah (1)
brodFjSshWfwOgQj18CEJ	1185	1683842243	glm-4-6	1	Conversation with Palestinians about the Nakbah (1)
7_Awv-9OWpcBIdjM_SG3J	1185	1683842243	glm-4-6	1	Conversation with Palestinians about the Nakbah (2)
uVYN5vEP2N7PQKyW0gcOC	1185	1683842243	glm-4-6	1.75	Conversation with Palestinians about the Nakbah (2)
QvUqi6Px1WmQBu7drur6J	1185	1683842243	glm-4-6	1	Conversation with Palestinians about the Nakbah (3)
7dCphO518xRuQuDAnG2on	1185	1683842243	kayra-v1	1.87	Conversation with Palestinians about the Nakbah
72iVgdwqXkuW8m58xkMnv	1185	1683842243	kayra-v1	1.87	Conversation with Zionists about Israeli Independence (1)
cbhigQG8a8jQEasfzZ-cx	1185	1683842243	kayra-v1	1.87	Conversation with Zionists about Israeli Independence (2)
50IZGMuU_KhtE-a0NVmN2	1185	1683842243	glm-4-6	1	Conversation with Zionists about Israeli Independence (3)
ZrTzpnle_Swv-tKCd2S5S	1185	1683842243	kayra-v1	1.87	Conversation with Zionists about Israeli Independence (3)
fPSIVNmDflQE-s1_U8_83	1185	1683842243	glm-4-6	1	Conversation with Zionists about Israeli Independence (4)
nBIETKs9j_b8zD78pdlGu	1185	1683842243	kayra-v1	1.87	Conversation with Zionists about Israeli Independence (4)
