shortId	type	title	slug	scenarioId	actionCount	n_actions	n_human	n_model	human_chars	model_chars	n_undone	n_deleted	n_images	first_at	last_at	n_days	memory_chars	an_chars	instr_chars	n_storycards	tags	scripts	types	path
-1F94k_IQPIZ	adventure	Why Invent the Jesus	-1F94k_IQPIZ__why-invent-the-jesus	2450618	8	8	4	4	610	602	0	0	0	2021-12-05T14:42:49.693Z	2021-12-05T14:48:56.169Z	1	361	27	0	0	nsfw		story=4;continue=4	exports/adventures/-1F94k_IQPIZ__why-invent-the-jesus
-CyyeAkeuFkG	adventure	WarGames with special guest star WOPR	-CyyeAkeuFkG__wargames-with-special-guest-star-wopr	2520856	36	36	14	22	3114	5037	0	0	9	2021-12-29T17:18:04.217Z	2021-12-30T03:28:15.017Z	2	973	34	0	0			continue=22;story=14	exports/adventures/-CyyeAkeuFkG__wargames-with-special-guest-star-wopr
-P2VL6Vi4jEw	adventure	My Time With Thomas Pynchon	-P2VL6Vi4jEw__my-time-with-thomas-pynchon	1062601	46	46	18	28	1281	8914	0	0	0	2020-11-27T01:52:41.058Z	2020-11-27T05:32:39.542Z	1	26	12	0	0			continue=28;story=18	exports/adventures/-P2VL6Vi4jEw__my-time-with-thomas-pynchon
-W2Q7BeAiCq2	adventure	Fellowship Park: Four friends, different perspectives, one Bible Study	-W2Q7BeAiCq2__fellowship-park-four-friends-different-perspectives-one-bibl	965944	4	4	2	2	2206	473	0	0	0	2020-10-30T06:11:08.691Z	2020-10-30T06:22:03.842Z	1	1000	0	0	3	park|friends|bible|study|challenges|perspective|differences|group|talking|chat		continue=2;story=1;say=1	exports/adventures/-W2Q7BeAiCq2__fellowship-park-four-friends-different-perspectives-one-bibl
-hFVV-19gbTt	adventure	Paul B. Preciado's 12 transmen Walk Into A Bar	-hFVV-19gbTt__paul-b-preciados-12-transmen-walk-into-a-bar	1509999	4	4	1	3	121	1003	0	0	0	2021-03-07T01:08:55.385Z	2021-03-07T01:10:09.380Z	1	44	58	0	0	nsfw		continue=3;story=1	exports/adventures/-hFVV-19gbTt__paul-b-preciados-12-transmen-walk-into-a-bar
-ioybCl2NEMD	adventure	Your Cobralingus Engine has arrived!	-ioybCl2NEMD__your-cobralingus-engine-has-arrived	1032920	76	76	21	55	3700	16916	0	0	0	2020-11-20T02:13:44.856Z	2020-11-20T04:52:25.769Z	1	1000	150	0	16	nsfw|language|jeff noon|remix|experimental|metamorphiction|alice in wonderland|hybridization|polysemy|nonlinear|word		continue=55;story=21	exports/adventures/-ioybCl2NEMD__your-cobralingus-engine-has-arrived
-nspMD9Ta-hC	adventure	Date with 45, Pro Bono	-nspMD9Ta-hC__date-with-45-pro-bono	969469	31	31	15	16	12239	6181	0	0	0	2020-10-30T18:23:35.527Z	2020-10-31T03:28:48.020Z	2	537	84	0	0	nsfw|holehearttoholeheart.|cheaptv|election 2020|hail mary mary|sim-patheticmagick|politics|nofomohomo|honeypot|dialogueheavy|nevernotsideboob		continue=16;story=12;do=3	exports/adventures/-nspMD9Ta-hC__date-with-45-pro-bono
03V27Z1Qup_a	adventure	Defile Dragon Before They Close the Corporate Doors!	03V27Z1Qup_a__defile-dragon-before-they-close-the-corporate-doors	2464298	383	383	150	233	10976	75812	0	0	124	2021-12-25T02:31:58.172Z	2021-12-29T05:49:43.300Z	3	311	131	0	0	nsfw		continue=233;story=106;say=36;do=8	exports/adventures/03V27Z1Qup_a__defile-dragon-before-they-close-the-corporate-doors
03fwuxAWNizc	adventure	You are Subject #374 for AI Dungeon, LLC's new psychoactive substance!	03fwuxAWNizc__you-are-subject-374-for-ai-dungeon-llcs-new-psychoactive-sub	1177433	142	142	61	81	9337	27783	0	0	0	2020-12-31T02:38:05.488Z	2020-12-31T04:21:39.230Z	1	999	105	0	0	nsfw|psychopharmacology|drugs|aipharma|taster|cyberbiopolitics|drugbot2020|bioassay|shulgin|pihkal|tihkal		continue=81;story=61	exports/adventures/03fwuxAWNizc__you-are-subject-374-for-ai-dungeon-llcs-new-psychoactive-sub
08K2SISQq9Nr	adventure	Confined	08K2SISQq9Nr__confined	2350292	11	11	6	5	2596	2022	0	0	0	2021-12-01T17:06:23.269Z	2021-12-01T17:15:42.035Z	1	75	25	0	0	fiction|action|powers|superpowers|adventure|universaltiger|long prompt		story=6;continue=5	exports/adventures/08K2SISQq9Nr__confined
